date,event,time
1/1/17,Render Your WiFi Page,4.9
1/2/17,Render Your WiFi Page,3.7
1/3/17,Render Your WiFi Page,1.6
1/4/17,Render Your WiFi Page,2.5
1/5/17,Render Your WiFi Page,4.5
1/6/17,Render Your WiFi Page,4.9
1/7/17,Render Your WiFi Page,2.8
1/8/17,Render Your WiFi Page,3.6
1/9/17,Render Your WiFi Page,3.8
1/10/17,Render Your WiFi Page,1.3
1/11/17,Render Your WiFi Page,1.1
1/12/17,Render Your WiFi Page,4.6
1/13/17,Render Your WiFi Page,3.9
1/14/17,Render Your WiFi Page,3.1
1/15/17,Render Your WiFi Page,4.8
1/16/17,Render Your WiFi Page,1.5
1/17/17,Render Your WiFi Page,2
1/18/17,Render Your WiFi Page,1.8
1/19/17,Render Your WiFi Page,1.6
1/20/17,Render Your WiFi Page,4.9
1/21/17,Render Your WiFi Page,1.8
1/22/17,Render Your WiFi Page,2.2
1/23/17,Render Your WiFi Page,1.2
1/24/17,Render Your WiFi Page,3.2
1/25/17,Render Your WiFi Page,2.9
1/26/17,Render Your WiFi Page,3
1/27/17,Render Your WiFi Page,1.8
1/28/17,Render Your WiFi Page,1.3
1/29/17,Render Your WiFi Page,3.1
1/30/17,Render Your WiFi Page,1.9
1/1/17,Render Gateway Online Element,4.5
1/2/17,Render Gateway Online Element,4.9
1/3/17,Render Gateway Online Element,5.5
1/4/17,Render Gateway Online Element,6.7
1/5/17,Render Gateway Online Element,5.3
1/6/17,Render Gateway Online Element,5.8
1/7/17,Render Gateway Online Element,5.9
1/8/17,Render Gateway Online Element,4.6
1/9/17,Render Gateway Online Element,7
1/10/17,Render Gateway Online Element,4.8
1/11/17,Render Gateway Online Element,6
1/12/17,Render Gateway Online Element,5.8
1/13/17,Render Gateway Online Element,5.9
1/14/17,Render Gateway Online Element,4.6
1/15/17,Render Gateway Online Element,5.5
1/16/17,Render Gateway Online Element,5.2
1/17/17,Render Gateway Online Element,4.5
1/18/17,Render Gateway Online Element,6.5
1/19/17,Render Gateway Online Element,5.5
1/20/17,Render Gateway Online Element,4
1/21/17,Render Gateway Online Element,6.1
1/22/17,Render Gateway Online Element,7
1/23/17,Render Gateway Online Element,5.7
1/24/17,Render Gateway Online Element,4.2
1/25/17,Render Gateway Online Element,4.2
1/26/17,Render Gateway Online Element,4.8
1/27/17,Render Gateway Online Element,5.6
1/28/17,Render Gateway Online Element,6.4
1/29/17,Render Gateway Online Element,5.3
1/30/17,Render Gateway Online Element,4.4
1/1/17,Render Home Network Usage Element,7.8
1/2/17,Render Home Network Usage Element,8.2
1/3/17,Render Home Network Usage Element,8.1
1/4/17,Render Home Network Usage Element,9.6
1/5/17,Render Home Network Usage Element,9.1
1/6/17,Render Home Network Usage Element,9.5
1/7/17,Render Home Network Usage Element,9.6
1/8/17,Render Home Network Usage Element,8.8
1/9/17,Render Home Network Usage Element,8.4
1/10/17,Render Home Network Usage Element,7.4
1/11/17,Render Home Network Usage Element,7.7
1/12/17,Render Home Network Usage Element,9.6
1/13/17,Render Home Network Usage Element,8.2
1/14/17,Render Home Network Usage Element,9
1/15/17,Render Home Network Usage Element,8.7
1/16/17,Render Home Network Usage Element,7.2
1/17/17,Render Home Network Usage Element,7.2
1/18/17,Render Home Network Usage Element,7.8
1/19/17,Render Home Network Usage Element,7.2
1/20/17,Render Home Network Usage Element,7.4
1/21/17,Render Home Network Usage Element,7.7
1/22/17,Render Home Network Usage Element,9.5
1/23/17,Render Home Network Usage Element,7.6
1/24/17,Render Home Network Usage Element,8.3
1/25/17,Render Home Network Usage Element,8.4
1/26/17,Render Home Network Usage Element,8.6
1/27/17,Render Home Network Usage Element,7.2
1/28/17,Render Home Network Usage Element,7.9
1/29/17,Render Home Network Usage Element,9.4
1/30/17,Render Home Network Usage Element,9.4
1/1/17,Render Home Network Activity Element,1.4
1/2/17,Render Home Network Activity Element,1.7
1/3/17,Render Home Network Activity Element,2.2
1/4/17,Render Home Network Activity Element,2.3
1/5/17,Render Home Network Activity Element,2.5
1/6/17,Render Home Network Activity Element,1.7
1/7/17,Render Home Network Activity Element,2.6
1/8/17,Render Home Network Activity Element,1.1
1/9/17,Render Home Network Activity Element,1.1
1/10/17,Render Home Network Activity Element,1.4
1/11/17,Render Home Network Activity Element,1.7
1/12/17,Render Home Network Activity Element,2.1
1/13/17,Render Home Network Activity Element,1.6
1/14/17,Render Home Network Activity Element,1.6
1/15/17,Render Home Network Activity Element,1.9
1/16/17,Render Home Network Activity Element,1.1
1/17/17,Render Home Network Activity Element,1.7
1/18/17,Render Home Network Activity Element,2.3
1/19/17,Render Home Network Activity Element,2.5
1/20/17,Render Home Network Activity Element,2.5
1/21/17,Render Home Network Activity Element,1
1/22/17,Render Home Network Activity Element,1.9
1/23/17,Render Home Network Activity Element,2.9
1/24/17,Render Home Network Activity Element,2
1/25/17,Render Home Network Activity Element,2.8
1/26/17,Render Home Network Activity Element,1
1/27/17,Render Home Network Activity Element,2
1/28/17,Render Home Network Activity Element,2.2
1/29/17,Render Home Network Activity Element,1.9
1/30/17,Render Home Network Activity Element,2.6
1/1/17,Edit WiFi,12
1/2/17,Edit WiFi,12.1
1/3/17,Edit WiFi,11.7
1/4/17,Edit WiFi,11.9
1/5/17,Edit WiFi,11.4
1/6/17,Edit WiFi,10.7
1/7/17,Edit WiFi,12.2
1/8/17,Edit WiFi,11.6
1/9/17,Edit WiFi,10.5
1/10/17,Edit WiFi,11.9
1/11/17,Edit WiFi,10.7
1/12/17,Edit WiFi,10.1
